x,y
0.0,0.0
0.045454545454545456,0.19567855068650006
0.09090909090909091,0.3913571013730001
0.13636363636363635,0.5870356520595001
0.18181818181818182,0.7827142027460002
0.2272727272727273,0.9783927534325003
0.2727272727272727,1.1740713041190003
0.3181818181818182,1.3697498548055003
0.36363636363636365,1.5654284054920005
0.4090909090909091,1.7231019534261154
0.4545454545454546,1.7287554903506892
0.5,1.7344090272752632
0.5454545454545454,1.740062564199837
0.5909090909090909,1.7457161011244111
0.6363636363636364,1.7513696380489852
0.6818181818181819,1.757023174973559
0.7272727272727273,1.762676711898133
0.7727272727272727,1.7683302488227068
0.8181818181818182,1.8103629765269782
0.8636363636363636,1.9069644904007959
0.9090909090909092,2.0035660042746137
0.9545454545454546,2.1001675181484316
1.0,2.1967690320222486
1.0454545454545454,2.2933705458960665
1.0909090909090908,2.3899720597698844
1.1363636363636365,2.4865735736437022
1.1818181818181819,2.5831750875175192
1.2272727272727273,2.6224221921946955
1.2727272727272727,2.6234330240741097
1.3181818181818181,2.6244438559535235
1.3636363636363638,2.6254546878329377
1.4090909090909092,2.6264655197123514
1.4545454545454546,2.6274763515917656
1.5,2.6284871834711794
1.5454545454545454,2.629498015350593
1.590909090909091,2.6305088472300073
1.6363636363636365,2.536111052814431
1.6818181818181819,2.4178611018251077
1.7272727272727273,2.2996111508357844
1.7727272727272727,2.181361199846461
1.8181818181818183,2.063111248857137
1.8636363636363638,1.9448612978678144
1.9090909090909092,1.826611346878491
1.9545454545454546,1.7083613958891677
2.0,1.5901114448998444
